"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 15:03:45 IST 2023","Mon Sep 11 15:03:58 IST 2023","12731","","changing password","","","","should not to login   ",""
"passed","Mon Sep 11 15:03:58 IST 2023","Mon Sep 11 15:04:06 IST 2023","8230","","changing password","","","","should to login   ",""
"passed","Mon Sep 11 14:59:27 IST 2023","Mon Sep 11 14:59:28 IST 2023","287","","Manage accounts in System administration","","","","filling personal details ",""
"passed","Mon Sep 11 14:54:08 IST 2023","Mon Sep 11 14:54:29 IST 2023","20869","","My Login application","","","","should search for id and capture vitals",""
"passed","Mon Sep 11 15:04:15 IST 2023","Mon Sep 11 15:04:22 IST 2023","7778","","changing password","","","","log out and login again to check new password",""
"passed","Mon Sep 11 15:07:03 IST 2023","Mon Sep 11 15:07:16 IST 2023","12757","","changing password","","","","end visit workflow and test end visit button",""
"passed","Mon Sep 11 15:11:39 IST 2023","Mon Sep 11 15:11:49 IST 2023","10361","","edit registration","","","","editing info",""
"passed","Mon Sep 11 15:04:06 IST 2023","Mon Sep 11 15:04:11 IST 2023","5127","","changing password","","","","selecting my account",""
"passed","Mon Sep 11 14:53:32 IST 2023","Mon Sep 11 14:53:48 IST 2023","15796","","My Login application","","","","click on register a patient",""
"passed","Mon Sep 11 15:04:11 IST 2023","Mon Sep 11 15:04:15 IST 2023","3304","","changing password","","","","chnaging password",""
"passed","Mon Sep 11 14:53:48 IST 2023","Mon Sep 11 14:54:00 IST 2023","11894","","My Login application","","","","record id and start visiting workflow",""
"passed","Mon Sep 11 14:59:40 IST 2023","Mon Sep 11 14:59:40 IST 2023","168","","Manage accounts in System administration","","","","searching the result",""
"passed","Mon Sep 11 14:59:28 IST 2023","Mon Sep 11 14:59:28 IST 2023","567","","Manage accounts in System administration","","","","filling account details",""
"passed","Mon Sep 11 15:11:08 IST 2023","Mon Sep 11 15:11:22 IST 2023","13160","","edit registration","","","","should login",""
"passed","Mon Sep 11 14:37:03 IST 2023","Mon Sep 11 14:37:06 IST 2023","2862",""," visit the login page","","","","should able to login",""
"passed","Mon Sep 11 15:11:22 IST 2023","Mon Sep 11 15:11:39 IST 2023","17426","","edit registration","","","","click on register a patient",""
"passed","Mon Sep 11 15:06:58 IST 2023","Mon Sep 11 15:07:03 IST 2023","5110","","changing password","","","","start visiting workflow and test start visit button ",""
"passed","Mon Sep 11 14:37:11 IST 2023","Mon Sep 11 14:37:11 IST 2023","28","","change the password","","","","should able click on  the change password button ",""
"passed","Mon Sep 11 14:59:19 IST 2023","Mon Sep 11 14:59:23 IST 2023","3881","","Manage accounts in System administration","","","","should visit after login",""
"passed","Mon Sep 11 14:59:28 IST 2023","Mon Sep 11 14:59:33 IST 2023","4940","","Manage accounts in System administration","","","","checking all capabilities",""
"passed","Mon Sep 11 14:53:27 IST 2023","Mon Sep 11 14:53:32 IST 2023","5642","","My Login application","","","","it shoudl login page",""
"passed","Mon Sep 11 15:06:39 IST 2023","Mon Sep 11 15:06:58 IST 2023","19559","","changing password","","","","click on register a patient",""
"passed","Mon Sep 11 14:59:13 IST 2023","Mon Sep 11 14:59:19 IST 2023","5462","","Manage accounts in System administration","","","","should able to login page  ",""
"passed","Mon Sep 11 14:54:00 IST 2023","Mon Sep 11 14:54:08 IST 2023","8358","","My Login application","","","","should navigate to the Capture Vitals page",""
"passed","Mon Sep 11 14:37:11 IST 2023","Mon Sep 11 14:37:19 IST 2023","8491","","change the password","","","","should able  to  change password  ",""
"passed","Mon Sep 11 14:36:58 IST 2023","Mon Sep 11 14:37:03 IST 2023","4405",""," visit the login page","","","","should able to go at the login page  ",""
"passed","Mon Sep 11 15:11:49 IST 2023","Mon Sep 11 15:11:54 IST 2023","5045","","edit registration","","","","checking the text updated or not",""
"passed","Mon Sep 11 14:59:25 IST 2023","Mon Sep 11 14:59:27 IST 2023","2081","","Manage accounts in System administration","","","","should visit to the manage account page and click button",""
"passed","Mon Sep 11 14:59:23 IST 2023","Mon Sep 11 14:59:25 IST 2023","2642","","Manage accounts in System administration","","","","able to click on system adminsitration",""
"passed","Mon Sep 11 14:59:33 IST 2023","Mon Sep 11 14:59:40 IST 2023","6860","","Manage accounts in System administration","","","","filling provider details",""
"passed","Mon Sep 11 14:37:09 IST 2023","Mon Sep 11 14:37:11 IST 2023","2239","","change the password","","","","should be able to go to the change password option button",""
"passed","Mon Sep 11 14:37:06 IST 2023","Mon Sep 11 14:37:09 IST 2023","3084","","change the password","","","","should be able to get my account button",""
"passed","Mon Sep 11 15:06:27 IST 2023","Mon Sep 11 15:06:39 IST 2023","11905","","changing password","","","","should login",""
